公司代號,公司名稱,縣市,地址,郵遞區號,聯絡人,職稱,電話,行業別,統一編號
factory_ID,factory_name,factory_city,factory_addr,factory_postal_code,factory_contact,factory_contact_titles,factory_contact_phone,factory_Industry,factory_uniform_numbers
客戶代號,客戶寶號,縣市,地址,郵遞區號,聯絡人,職稱,電話,行業別,統一編號
str_20,str_100,str_20,str_100,str_20,str_20,str_20,,,
,,,,,,,,,
A0001,九和汽車股份有限公司,台中市,西屯區工業區12路5號,407,陳勳森,採購專員,04-7081881,機械,86281373
A0002,遠東氣體工業股份公司,台北市,北投區承德路7段371-1號,100,謝裕民,行政專員,02-7752450,機械,4675569
A0003,諾貝爾生物有限公司,台北市,松山區敦化北路122號3樓,105,翁崇銘,工程師,02-9015105,機械,22039731
A0004,有萬貿易股份有限公司,台北市,復興北路57號5樓,108,郭淑玲,行政專員,02-1879991,食品,85800192
A0005,真正精機股份有限公司,台南縣,歸仁鄉南興村中山路851號,720,廖述宏,工程師,06-8792123,建築,12231596
A0006,東興振業股份有限公司,台南縣,麻豆鎮小埤里苓子林8-12號,710,黃清吉,總務主任,06-4588455,電機,4735004
A0007,漢寶農畜產企業公司,台中市,西屯區台中工業區工業五路3號,407,林慶文,工程師,04-7613571,電子,7406808
A0008,大喬機械公司,台中縣,烏日鄉中山路三段6號,414,張君暉,工程師,04-2552171,機械,11222009
A0009,達亞汽車股份有限公司,台北市,大安區復興南路一段390號5樓之3,106,蔣清池,總務主任,02-2301212,電子,61781463
A0010,台灣航空電子股份公司,台北市,大安區敦化南路一段223號8樓,106,劉瑞復,工程師,02-7721320,貿易,97513218
A0011,洽興金屬工業股份公司,台北市,中山北路三段22號,104,梁文雄,工程師,02-2514474,機械,52003703
A0012,新益機械工廠股份公司,台北市,中山區松江路293號805室,111,林金源,採購專員,02-9991061,機械,3807628
A0013,天源義記機械股份公司,台北市,中山區南京東路3段65號2樓,104,陳幼獅,行政專員,02-7174500,資訊,79854797
A0014,家鄉事業股份有限公司,台北市,中正區博愛路154號6-7樓,104,林添財,主任,02-9179261,機械,11081681
A0015,四維企業(股)公司,台北市,中正區懷寧街43號6樓,100,張國萬,採購專員,02-6668541,電子,11099303
A0016,永輝興電機工業股份公司,台北市,忠孝東路四段285號13樓,103,陳世棟,採購專員,02-7195800,機械,22956788
A0017,溪泉電器工廠股份公司,台北市,松山區南京東路三段248號14樓,110,楊喜棠,工程師,02-1184988,貿易,51868406
A0018,善品精機股份有限公司,台北市,信義路五段2號14樓,104,李青潭,工程師,02-2595286,機械,3722109
A0019,佳樂電子股份有限公司,台北市,許昌街四二號九樓,104,李進興,總務主任,02-4688516,化學,52004800
A0020,科隆實業股份有限公司,台北市,塔城街66號3樓,106,蘇益慶,工程師,02-9879103,化學,86172733
A0021,永光壓鑄企業公司,台北市,土城市大暖路71號,114,張子信,工程師,02-1524755,貿易,5135739
A0022,正五傑機械股份有限公司,台北縣,土城市自強街29號,241,黃俊勝,行政專員,02-5569536,機械,61602905
A0023,集上科技股份有限公司,台北縣,汐止鎮大同路3段275號,236,徐旭明,主任,02-4247674,建築,73251209
A0024,強安鋼架工程股份有限公司,台北縣,板橋市民生路一段28號,235,林勝豐,採購專員,02-8795884,食品,7881361
A0025,菱生精密工業股份有限公司,台北縣,新店市寶興路45巷5號3樓,251,呂擇賞,工程師,02-4998556,機械,22099630
A0026,昆信機械工業股份有限公司,台北縣,仁德鄉保安村開發四路6號,238,鄭榮勳,採購專員,02-4489598,機械,72065240
A0027,麥柏股份有限公司,桃園縣,桃園市大林里大仁路50號,334,周正義,主任,03-4856525,電子,4697347
A0028,中友開發建設股份有限公司,桃園縣,楊梅鎮大同里行善路80號,337,陳登榜,工程師,03-1385562,化學,60330130
A0029,長生營造股份有限公司,桃園縣,龜山鄉善村文德路25號,324,黃正弘,行政專員,03-4855525,建築,3932533
A0030,百容電子股份有限公司,桃園縣,蘆竹鄉南崁路二段201巷7號,330,唐樂川,總務主任,03-2659569,建築,22099934
A0031,欣中天然氣股份有限公司,桃園縣,小港區中林路26號,325,林長芳,工程師,03-2365566,電子,86159485
A0032,比力機械工業股份公司,桃園縣,五福三路21號6樓,338,吳政翔,總務主任,03-4554521,機械,21222725
A0033,詮讚興業公司,高雄市,鼓山區明倫路514巷19號,813,劉宗齊,採購專員,07-2665563,建築,86379208
A0034,鐶琪塑膠股份有限公司,高雄市,大社工業區興工路1-3號,806,楊菊生,工程師,07-5645655,建築,75370905
A0035,亞智股份有限公司,新竹市,科學工業園區園區二路47號105室,300,賴朝宗,採購,035-189566,電子,84308030
A0036,九華營造工程股份有限公司,新竹市,竹東鎮中興路四段14號,300,胡明宗,採購助理,035-789542,化學,3703601
A0037,台灣保谷光學股份有限公司,新竹市,水上鄉回歸村北回60號,300,王振芳,總務助理,035-585985,機械,23120951
A0038,豐興鋼鐵(股)公司,新竹縣,秀水鄉埔崙村三越街82號,302,林清富,工程師,035-584425,其他,22018285
A0039,台灣勝家實業股份有限公司,台中縣,烏日鄉中山路一段和平巷150弄27號,414,顏仲仁,總務主任,04-8342662,機械,23418669
A0040,周家合板股份有限公司,台北市,士林區社中街76號,111,徐賢德,工程師,02-7351127,化學,11085292
A0041,英業達股份有限公司,台北市,大安區忠孝東路4段285號6樓,106,許金良,採購專員,02-5316125,食品,3767301
A0042,羽田機械股份有限公司,台北市,中山區南京東路二段95號11樓,104,徐惠秋,總務主任,02-7751286,資訊,6606103
A0043,中衛聯合開發公司,台北市,敦化南路522號2樓,106,巫嘉昌,工程師,02-1949849,電機,52004800
A0044,台中精機廠股份有限公司,台北市,華陰街119號,105,黃永松,總務主任,02-4789198,機械,77514419
A0045,東陽實業(股)公司,台北縣,新店市寶橋路229號,220,李春淵,採購專員,02-8499256,電機,23826519
A0046,金泰成粉廠股份有限公司,台北縣,樹林鎮東興街1號,231,林棟材,工程師,02-9985554,化學,12223723
A0047,現代農牧股份有限公司,台南縣,中壢市新生路二段334號,721,呂碧如,工程師,06-4882554,機械,41695406
A0048,惠亞工程股份有限公司,台南縣,八德市大湳里和平路1127號,711,張朝深,總務主任,06-8884551,機械,3329507
A0049,台灣釜屋電機股份有限公司,桃園縣,大園鄉橫峰村1號,320,陳世昌,採購專員,03-4884525,其他,7284214
A0050,國光血清疫苗製造公司,桃園縣,平鎮市建安村太平東路7號,330,陳標山,行政專員,03-5568425,紡織,37199708
A0051,台灣製罐工業股份有限公司,桃園縣,楊梅鎮秀才路520號,337,陳智雄,工程師,03-4825826,貿易,5630750
A0052,雅企科技(股),桃園縣,龜山鄉樂善村文德路25號,330,陳肇源,採購專員,03-4851551,建築,76940003
A0053,國豐電線工廠股份有限公司,新竹市,科學工業園區園區二路40號1樓,300,鄭景昌,行政專員,035-645858,電子,12388674
A0054,金興鋼鐵股份有限公司,新竹縣,和美鎮彰美路二段106號,310,張永茂,工程師,035-851453,機械,85614991
A0055,原帥電機股份有限公司,台中市,南屯區南屯路三段86號,408,蔡淑慧,工程師,04-5062442,建築,75370905
A0056,新寶纖維股份有限公司,台北市,大安區敦化南路1段331號6樓,106,杜鴻國,採購專員,02-3592139,機械,38011301
A0057,太平洋汽門工業股份公司,台北市,中山區松江路301號9樓,111,葉育恩,工程師,02-4951111,貿易,12486393
A0058,喬福機械工業股份有限公司,台北市,中正區延平南路10號,104,林繼宗,採購專員,02-4648165,食品,22102494
A0059,楓原設計公司,台北市,南港區東新街34巷10號3樓,105,秦嘉鴻,採購專員,02-7899552,食品,74231126
A0060,日南紡織股份有限公司,台北市,三重市重新路五段609巷16號6樓,106,高文彬,總務主任,02-6548854,建築,6673382