商品編號,商品名稱,作者,商品價格,商品標籤,系列作_編號,商品資訊,出版日期,ISBN
P_ID,P_name,P_author,P_price,P_type_id,P_NO,P_content,P_data,P_ISBN
"數字,20","字元,30","字元,30","數字,10",字元[100],字元,字元,data,字元
主鍵,,,,類型標籤： 美食 / 食譜 / 飲食 / 療癒,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
101823,化物語,西尾維新,55,3,,,,
101168,幼女戰記,カルロ・ゼン/篠月 しのぶ,210,3,,,,
102024,火舞,黃曉惠水彩藝術,630,9,,,,
92500,嫌疑犯X的獻身【15週年紀念全新譯本】,東野圭吾,295,5,,,,
104256,戈登˙拉姆齊的享瘦食譜,戈登˙拉姆齊,594,11,,,,
2886,拉普拉斯的魔女,東野圭吾,280,5,,,,
81580,虛構推理,城平京,171,5,,,,
41346,庫特利亞芙卡的順序,米澤穗信,266,5,,,,
41012,愚者的片尾,米澤穗信,182,5,,,,
89059,空挺Dragons,桑原太矩,195,3,,,,
103483,日本庶民美食,林潔珏、游翔皓、EZ Japan編輯部,300,2,,,,